"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"神奈川県","藤沢市","宮原","","2402","9","-66651.1","-39823.1","35.398432","139.39492","0","1","0","0"
"神奈川県","藤沢市","宮原","","2407","9","-66457.8","-39752.3","35.400177","139.39569","0","1","0","0"
"神奈川県","藤沢市","宮原","","2435","9","-66457.8","-39752.3","35.400177","139.39569","0","1","0","0"
"神奈川県","藤沢市","宮原","","2436","9","-66457.8","-39752.3","35.400177","139.39569","0","1","0","0"
"神奈川県","藤沢市","宮原","","2440","9","-66457.8","-39752.3","35.400177","139.39569","0","1","0","0"
"神奈川県","藤沢市","宮原","","2444","9","-66457.8","-39752.3","35.400177","139.39569","0","1","0","0"
"神奈川県","藤沢市","宮原","","2399","9","-66743.8","-39778.3","35.397598","139.395418","0","1","0","0"
"神奈川県","藤沢市","宮原","","2404","9","-66672","-39760.6","35.398246","139.395609","0","1","0","0"
"神奈川県","藤沢市","宮原","","2405","9","-66672","-39760.6","35.398246","139.395609","0","1","0","0"
"神奈川県","藤沢市","宮原","","2406","9","-66550.5","-39720.2","35.399343","139.396048","0","1","0","0"
"神奈川県","藤沢市","宮原","","2434","9","-66550.5","-39720.2","35.399343","139.396048","0","1","0","0"
"神奈川県","藤沢市","宮原","","2437","9","-66550.5","-39720.2","35.399343","139.396048","0","1","0","0"
"神奈川県","藤沢市","宮原","","2443","9","-66550.5","-39720.2","35.399343","139.396048","0","1","0","0"
"神奈川県","藤沢市","宮原","","25","9","-67436.8","-39723.2","35.391354","139.396058","0","1","0","0"
"神奈川県","藤沢市","宮原","","2382","9","-66785.1","-39676.6","35.39723","139.39654","0","1","0","0"
"神奈川県","藤沢市","宮原","","2392","9","-66785.1","-39676.6","35.39723","139.39654","0","1","0","0"
"神奈川県","藤沢市","宮原","","2394","9","-66785.1","-39676.6","35.39723","139.39654","0","1","0","0"
"神奈川県","藤沢市","宮原","","2380","9","-66708.5","-39653.8","35.397921","139.396787","0","1","0","0"
"神奈川県","藤沢市","宮原","","2381","9","-66708.5","-39653.8","35.397921","139.396787","0","1","0","0"
"神奈川県","藤沢市","宮原","","2412","9","-66708.5","-39653.8","35.397921","139.396787","0","1","0","0"
"神奈川県","藤沢市","宮原","","2416","9","-66708.5","-39653.8","35.397921","139.396787","0","1","0","0"
"神奈川県","藤沢市","宮原","","2417","9","-66708.5","-39653.8","35.397921","139.396787","0","1","0","0"
"神奈川県","藤沢市","宮原","","2419","9","-66708.5","-39653.8","35.397921","139.396787","0","1","0","0"
"神奈川県","藤沢市","宮原","","64","9","-67088.6","-39655.1","35.394495","139.396791","0","1","0","0"
"神奈川県","藤沢市","宮原","","74","9","-67088.6","-39655.1","35.394495","139.396791","0","1","0","0"
"神奈川県","藤沢市","宮原","","90","9","-67088.6","-39655.1","35.394495","139.396791","0","1","0","0"
"神奈川県","藤沢市","宮原","","96","9","-67088.6","-39655.1","35.394495","139.396791","0","1","0","0"
"神奈川県","藤沢市","宮原","","109","9","-67088.6","-39655.1","35.394495","139.396791","0","1","0","0"
"神奈川県","藤沢市","宮原","","2420","9","-66624","-39655.8","35.398683","139.396761","0","1","0","0"
